통화,환율,전일대비,등락률
KODEX 200선물인버스2X,284,"상승
10",+3.65%
KODEX 인버스,"1,711","상승
29",+1.72%
흥아해운,"2,335","상승
225",+10.66%
남선알미늄,"1,506","상승
189",+14.35%
폴라리스AI,"2,045","상승
290",+16.52%
대우건설,"12,320","상승
1,860",+17.78%
삼성 인버스 2X WTI원유 선물 ETN,36,"하락
1",-2.70%
KODEX 코스닥150선물인버스,"2,035","하락
10",-0.49%
우리기술,"24,450","상승
2,550",+11.64%
서울식품,206,"하락
4",-1.90%
TIGER 200선물인버스2X,300,"상승
8",+2.74%
한국ANKOR유전,344,"하락
19",-5.23%
KODEX 2차전지산업레버리지,"1,572","하락
106",-6.32%
KODEX 코스닥150레버리지,"17,150","상승
205",+1.21%
대한광통신,"7,400","하락
270",-3.52%
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
미국USD,"1,499.00","상승
8.00",
일본JPY (100엔),938.46,"상승
2.52",
유럽연합EUR,"1,711.33","하락
6.00",
중국CNY,217.09,"상승
0.43",
달러/일본 엔(03.13),159.3500,"상승
0.17",
유로/달러(03.13),1.1457,"하락
0.01",
파운드/달러(03.13),1.3256,"하락
0.01",
달러인덱스(03.13),100.3600,"상승
0.61",
콜금리(03.12),2.54,"상승
0.05",
국고채(3년)(03.13),3.33,"상승
0.06",
회사채(3년)(03.13),3.91,"상승
0.05",
두바이유(03.13),127.86,"상승
4.81",
WTI(03.13),98.71,"상승
2.98",
휘발유(03.14),"1,844.27","하락
19.80",
고급휘발유(03.14),"2,084.52","상승
7.69",
국제금(03.13),"5,061.70","하락
64.10",
국내금(03.13),"243,378.14","하락
119.75",
구리(03.13),"12,758.00","하락
138.50",
납(03.13),"1,880.00","하락
14.00",
천연가스(03.13),3.13,"하락
0.10",
옥수수(03.13),467.25,"상승
4.75",
다우산업(03.13),"46,558.47","하락
119.38",
나스닥(03.13),"22,105.36","하락
206.62",
홍콩H(03.13),"8,671.48","하락
28.07",
상해종합(03.13),"4,095.45","하락
33.65",
니케이225(03.13),"53,819.61","하락
633.35",
1.삼성전자,"183,500","하락
4,400",
2.SK하이닉스,"910,000","하락
20,000",
3.두산에너빌리..,"106,500","상승
3,000",
4.현대차,"517,000","하락
4,000",
5.우리기술,"24,450","상승
2,550",
